,num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc,bagging_prec,random_forest_prec,boosting_prec,bagging_recl,random_forest_recl,boosting_recl,bagging_f1,random_forest_f1,boosting_f1
"k: 10, clustering: kmeans,  embedding: text-embedding-3-large",1717,30844,1416,130.6949152542373,10,2,0.7111022596043994,0.9472682042934799,13.069491525423729,0.8372950064492353,0.8296787666605245,0.8396290154167434,0.6794121945818725,0.6836752673967031,0.7069810126542577,0.8465547191661842,0.7608167233835683,0.7721463199647421,0.3801352054082163,0.40691627665106606,0.45553822152886114,0.5246725282612597,0.5302388615957988,0.573017170891251
"k: 10, clustering: kmeans,  embedding: text-embedding-3-small",2441,30120,1416,134.46428571428572,10,2,0.7080582432176057,0.9250330149565431,13.446428571428571,0.8363122658313371,0.8306000859898041,0.8367422148516676,0.6769729269267273,0.683380442575966,0.7050013894403786,0.8467410452143277,0.7690405539070228,0.7566983578219534,0.374934997399896,0.4043161726469059,0.45527821112844513,0.5197332852766264,0.5299931833674165,0.5685064935064935
"k: 10, clustering: kmeans,  embedding: mistral-embed",1609,30952,1416,131.15254237288136,10,2,0.7109749043065146,0.9505850557415313,13.115254237288136,0.8355752103679135,0.8309071924328972,0.8408574411891161,0.6757720489760483,0.680887604623606,0.7017688548313947,0.8440258975868158,0.7792539601430761,0.7966903073286052,0.37285491419656785,0.3965158606344254,0.438117524700988,0.5172227231740307,0.5255902119593314,0.5653413856735447
"k: 10, clustering: kmeans,  embedding: jinaai-jina-embeddings-v2-base-en",1416,31145,1336,124.08366533864542,10,2,0.7100948711480097,0.956512392125549,12.408366533864541,0.8373564277378539,0.8309071924328972,0.8382163257785148,0.6798115881209434,0.6798100512681543,0.6921378061395074,0.845444059976932,0.7827211588204863,0.8057517658930373,0.38117524700988037,0.39339573582943316,0.41523660946437857,0.5254480286738351,0.5236200034608064,0.5480439258750858
"k: 10, clustering: kmeans,  embedding: fasttext",2964,29597,2206,143.6747572815534,10,2,0.7086738199013092,0.9089708547034796,14.36747572815534,0.8367422148516676,0.8315214053190836,0.841901603095633,0.6792299050224976,0.6805713265925089,0.6970646425374505,0.8413793103448276,0.785603314344899,0.8215369059656218,0.38065522620904835,0.39443577743109726,0.42251690067602704,0.5241675617615468,0.5251860827419075,0.5580357142857142
"k: 10, clustering: kmeans,  embedding: average_word_embeddings_komninos",1493,31068,1416,129.99163179916317,10,2,0.7102668800235428,0.9541475998894383,12.999163179916318,0.8357594742337694,0.8290031324857196,0.8361280019654812,0.6749049189953124,0.6752411133839804,0.6894237554785665,0.8500597371565114,0.780952380952381,0.796576032225579,0.3699947997919917,0.3837753510140406,0.41133645345813835,0.5155797101449275,0.5146443514644352,0.5425240054869686
"k: 10, clustering: kmeans,  embedding: average_word_embeddings_levy_dependency",2054,30507,1445,145.27142857142857,10,2,0.6571049267381257,0.9369183993120604,14.527142857142858,0.8348995761931085,0.8285117621767705,0.8384005896443707,0.6714685161592229,0.6736622951045906,0.6914502683846799,0.8565270935960592,0.7818181818181819,0.8097909229984702,0.36167446697867917,0.3801352054082163,0.4128965158606344,0.5085923217550274,0.5115465360391882,0.546926123643878
"k: 10, clustering: kmeans,  embedding: average_word_embeddings_glove.840B.300d",2254,30307,1416,134.6977777777778,10,2,0.709862722269097,0.9307760818156691,13.469777777777777,0.8369264787175235,0.8306615072784227,0.8413488114980652,0.6783627750417616,0.6810859527264083,0.7072089059678189,0.8472303206997085,0.776536312849162,0.7843313822602431,0.3777951118044722,0.39755590223608944,0.452938117524701,0.5225678834741952,0.5258813413585555,0.5742541618592385
"k: 10, clustering: agglomerative,  embedding: BERT",3093,29468,2850,155.91534391534393,10,2,0.7413006024788298,0.9050090599183072,15.591534391534392,0.8226153184693815,0.8250721700141269,0.818500092131933,0.7015002506010977,0.7004147307026177,0.7089532025189331,0.6792664670658682,0.6940124416796267,0.6502529510961215,0.4719188767550702,0.4641185647425897,0.50130005200208,0.5569193003988953,0.5562480523527578,0.5661430039641756
"k: 10, clustering: agglomerative,  embedding: word2vec",3207,29354,1416,127.07359307359307,10,2,0.7082915608159186,0.9015079389453641,12.707359307359308,0.8372335851606166,0.8288188686198636,0.8397518579939807,0.6839515872552875,0.6724266027335907,0.6971838584037934,0.826775956284153,0.7888707037643208,0.8021494870542257,0.39339573582943316,0.37597503900156004,0.42693707748309934,0.5331219168428472,0.5092445853143158,0.5572713388766334
